Label,Category,Item,Total clicks,Contact ratio,Total contacts
waar-kan-ik-mijn-factuur-vinden,Overig,Betaalmethodes,1,"0,00%",0
wat-moet-ik-doen-om-mijn-product-te-laten-repareren,Advies en ondersteuning,Hulp bij installatie en gebruik,1,,0
wo-ist-mein-paket,Sonstiges,Lieferstatus anfordern,1,"122,00%",1
kan-ik-mijn-product-retourneren,Garantie en reparatie,Garantievoorwaarden,1,,0
was-muss-ich-tun-um-mein-produkt-zurueckzugeben,,,1,"0,00%",0
kann-ich-besonders-grosse-produkte-wie-haushaltsgrossgeraete-und-kuechengeraete-online-zurueckgeben,Beratung und Unterstützung,Sonstiges,1,"119,00%",1
how-can-i-change-my-invoice,Order,Change order,1,"0,00%",0
ich-habe-einen-teil-meiner-bestellung-nicht-erhalten-was-muss-ich-jetzt-tun,Sonstiges,Unvollständige oder beschädigte Bestellung,1,"309,00%",3
wat-is-de-status-van-mijn-bestelling,Bestellen,Prijs van producten,1,,0
op-mijn-postnl-track--trace-staat-dat-mijn-pakket-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,Bezorgen en installeren,Bezorging wijzigen,1,"0,00%",0
wat-is-shoptegoed,Betalen,Betaalmethodes,1,"0,00%",0
wat-is-de-status-van-mijn-retourzending,Overig,Reparatiestatus,1,"0,00%",0
gelden-acties-en-promoties-ook-op-tweedekans,Commander,Promotions sur les produits,1,"0,00%",0
biedt-coolblue-achteraf-betalen-aan,Winkels,Openingstijden en bereikbaarheid,1,,0
how-can-i-change-or-cancel-my-return,Exchange and return,Other,1,"0,00%",0
how-can-i-pay,Payment,,1,,0
wat-is-de-status-van-mijn-retourzending,Overig,Retour of omruiling aanmelden,1,,0
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,,Bestelling wijzigen,1,"214,00%",2
zijn-alle-coolblue-winkels-open,,Openingstijden en bereikbaarheid,1,,0
wat-betekent-de-voorraadstatus-tijdelijk-uitverkocht,Bestellen,Advies bij aankoop,1,,0
wat-moet-ik-doen-als-ik-mijn-verzendlabel-niet-kan-printen,Ruilen en retourneren,Retourstatus,1,"0,00%",0
ik-wil-mijn-retour-annuleren,,Overig,1,"207,00%",2
wat-als-heb-betaald-met-bancontact-maar-geen-orderbevestiging-heb-ontvangen,Overig,Bestelling wijzigen,1,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,,Acties op producten,1,"164,00%",2
hoe-kan-ik-met-ecocheques-betalen,Betalen,Kortingen en tegoeden,1,"0,00%",0
waar-is-mijn-pakketje,Garantie en reparatie,Overig,1,,0
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Overig,,1,"0,00%",0
wat-is-de-status-van-mijn-retourzending,Betalen,Overig,1,"0,00%",0
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Garantie en reparatie,Reparatie onjuist afgehandeld,1,"0,00%",0
is-reparatie-altijd-gratis,Overig,Reparatie aanmelden,1,"0,00%",0
ou-trouver-ma-facture,Échange et retour,Autre,1,"0,00%",0
wie-melde-ich-online-meine-retoure-an,Umtausch und Rückgabe,Rückgabestatus,1,,0
kan-ik-mijn-bestelling-wijzigen,Bestellen,Bezorging wijzigen,1,"0,00%",0
waar-vind-ik-mijn-track-et-trace,Livraison et installation,Demander le statut de livraison,1,"759,00%",8
ik-heb-geen-factuur,Advies en ondersteuning,Overig,1,,0
my-package-isnt-ready-in-the-store-what-can-i-do,Stores,Order pickup,1,"0,00%",0
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Garantie en reparatie,Retourstatus,1,"0,00%",0
kunnen-jullie-mijn-pakket-vandaag-nog-bezorgen,Bezorgen en installeren,Bezorgstatus opvragen,1,"0,00%",0
kan-ik-een-vvvbon-inwisselen-bij-coolblue,Bestellen,Advies bij aankoop,1,"410,00%",4
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Bezorgen en installeren,Bezorg- en installatieservices,1,,0
wat-voor-retourmogelijkheden-heb-ik,Leveren en installeren,Bestelling vertraagd of niet geleverd,1,"0,00%",0
is-reparatie-altijd-gratis,Garantie en reparatie,,1,,0
kann-ich-ein-mit-einem-geschenkgutschein-bezahltes-produkt-zuruecksenden,Bestellen,Bestellung stornieren,1,"0,00%",0
est-ce-que-peux-enregistrer-des-produits-très-volumineux-en-ligne,Échange et retour,Signaler un retour ou un échange,1,"0,00%",0
hoe-weet-ik-wanneer-mijn-bestelling-klaarligt-in-de-winkel,Overig,Overig,1,"0,00%",0
wanneer-heeft-mijn-product-gebruikersschade,Ruilen en retourneren,Retour of omruiling aanmelden,1,,0
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Advies en ondersteuning,,1,,0
extra-grote-producten-aanmelden-reparatie,Overig,Kosten van reparatie,1,"0,00%",0
what-do-i-have-to-do-to-return-my-product,,,1,"0,00%",0
waar-is-mijn-pakketje,Bestellen,Overig,1,"138,00%",1
waarom-is-mijn-creditcard-betaling-afgewezen,,Bestelling annuleren,1,"172,00%",2
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wanneer-krijg-ik,Autre,Modifier la livraison,1,"196,00%",2
waar-is-mijn-pakketje,Overig,Reparatiestatus,1,"0,00%",0
hoe-kan-ik-betalen,Coolblue Zakelijk,Zakelijk bestellen,1,,0
do-cashbacks-apply-to-second-chance-products,Coolblue Business,Delivery,1,"0,00%",0
kann-ich-besonders-grosse-produkte-wie-haushaltsgrossgeraete-und-kuechengeraete-online-zur-reparatur-anmelden,Garantie und Reparatur,Sonstiges,1,,0
mon-produit-a-subi-un-dommage-pendant-la-livraison,Autre,Commande incomplète ou endommagée,1,"127,00%",1
wat-is-de-status-van-mijn-bestelling,Garantie en reparatie,Kosten van reparatie,1,"0,00%",0
que-faire-pour-renvoyer-mon-produit,Livraison et installation,Modifier la livraison,1,"0,00%",0
where-is-my-package,Delivery and installation,,1,"392,00%",4
hoe-kan-ik-mijn-bestelling-wijzigen,Coolblue Zakelijk,Zakelijk bestellen,1,"229,00%",2
kann-ich-besonders-grosse-produkte-wie-haushaltsgrossgeraete-und-kuechengeraete-online-zurueckgeben,Sonstiges,Retoure oder Umtausch anmelden,1,"117,00%",1
ma-commande-a-ete-livree-mais-je-n-ai-pas-recu-tous-les-produits,Autre,Commande incomplète ou endommagée,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,Bezorgen en installeren,Overig,1,"0,00%",0
why-do-i-receive-a-quote,Other,Register a repair,1,,0
hoe-ontvang-ik-mijn-terugbetaling,Betalen,Betaling mislukt of geweigerd,1,"0,00%",0
wat-voor-retourmogelijkheden-heb-ik,Advies en ondersteuning,Retourproces,1,,0
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Bestellen,Advies bij aankoop,1,"162,00%",2
waar-moet-ik-op-letten-in-de-voorbereiding-van-de-bezorging-van-mijn,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,1,"147,00%",1
waar-is-mijn-pakketje,Leveren en installeren,,1,"0,00%",0
kan-ik-een-pre-order-ook-ophalen-in-de-winkel,Overig,Overig,1,"0,00%",0
how-do-i-return-my-products,Other,Help with installation and use,1,,0
est-ce-que-je-peux-encore-modifier-l-adresse-de-livraison-de-ma-commande,Livraison et installation,Commande retardée ou non livrée,1,"0,00%",0
wie-melde-ich-online-meine-retoure-an,Umtausch und Rückgabe,Rückgabe oder Umtausch ändern,1,,0
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Overig,Overig,1,,0
wie-lange-dauert-die-reparatur,Sonstiges,Reparaturstatus,1,"220,00%",2
quelles-sont-les-options-de-livraison-proposees-pour-les-produits-electromenagers,Livraison et installation,Services de livraison et d'installation,1,,0
kan-ik-mijn-bestelling-annuleren,Coolblue Zakelijk,Bestelling annuleren,1,,0
how-do-i-return-my-products,Exchange and return,Return process,1,"0,00%",0
which-return-options-do-I-have,Payment,Other,1,"152,00%",2
hoe-kan-ik-mijn-bestelling-wijzigen,Overig,Services,1,"0,00%",0
how-do-i-return-my-products,Other,Return process,1,,0
hoe-retourneer-ik-mijn-artikelen,Ruilen en retourneren,Retour onjuist afgehandeld,1,"0,00%",0
ik-kan-mijn-coolbluetegoed-niet-verrekenen-wat-nu,Betalen,Overig,1,"0,00%",0
kan-ik-mijn-bestelling-annuleren,Ruilen en retourneren,Retourproces,1,"0,00%",0
est-ce-que-je-peux-faire-reparer-mon-produit-chez-coolblue,Garantie et réparation,Signaler une réparation,1,"138,00%",1
ik-ga-mijn-pakketje-ophalen-wat-is-het-adres-van-mijn-afhaalpunt,Delivery and installation,Order delayed or not delivered,1,"139,00%",1
what-if-i-cant-print-my-shipping-labels,Overig,Return status,1,"0,00%",0
hoe-meld-ik-online-een-retour-aan-voor-een-zakelijke-bestelling-,Betalen,Overig,1,"0,00%",0
kan-ik-een-vvvbon-inwisselen-bij-coolblue,,Factuur nasturen,1,"0,00%",0
how-does-free-delivery-work,Delivery and installation,Request delivery status,1,,0
do-you-repair-products-at-home-or-do-i-have-to-send-it-in,Warranty and repair,Repair processed incorrectly,1,"0,00%",0
hoe-lang-duurt-het-voordat-ik-mijn-nieuwe-product-ontvang,Overig,Retourstatus,1,"128,00%",1
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wanneer-krijg-ik,Livraison et installation,Demander le statut de livraison,1,"0,00%",0
que-faire-pour-renvoyer-mon-produit,Autre,Processus de réparation,1,"0,00%",0
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,1,"0,00%",0
het-product-heeft-een-aanbieding-en-een-cashback-hoe-hoog-is-mijn-korting,Betalen,Overig,1,,0
hoe-vraag-ik-een-cashback-aan,Ruilen en retourneren,Retour of omruiling aanmelden,1,"148,00%",1
is-reparatie-altijd-gratis,Garantie en reparatie,Reparatie onjuist afgehandeld,1,"0,00%",0
hoe-vaak-krijg-ik-een-update-over-mijn-reparatie,,,1,"0,00%",0
kann-ich-mein-produkt-bei-coolblue-reparieren-lassen,Garantie und Reparatur,Reparatur anmelden,1,,0
le-statut-de-paiement-dans-mon-coolblue-n-est-pas-correct,Commander,Paiement échoué ou refusé,1,"0,00%",0
kann-ich-die-lieferadresse-meiner-bestellung-noch-aendern,Sonstiges,Lieferung ändern,1,"177,00%",2
und-wie-schnell-bekomme-ich-nach-der-rueckgabe-mein-geld-zurueck,Garantie und Reparatur,Reparaturprozess,1,,0
hoe-retourneer-ik-mijn-artikelen,Overig,Retourvoorwaarden,1,,0
hoe-lang-duurt-een-reparatie,Garantie en reparatie,,1,"0,00%",0
what-can-i-make-an-appointment-for-in-the-store,Stores,Services,1,"0,00%",0
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,Overig,Overig,1,,0
will-you-take-my-old-appliance-with-you,Bezorgen en installeren,Bezorg- en installatieservices,1,"125,00%",1
hoe-kan-ik-betalen,,Bezorgstatus opvragen,1,"0,00%",0
where-can-i-find-my-invoice,Coolblue Business,Business order,1,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,Betalen,Terugbetaling van annulering,1,"144,00%",1
kan-ik-mijn-product-retourneren,,Cashback en productacties,1,"149,00%",1
hoe-vraag-ik-een-cashback-aan,Overig,,1,"143,00%",1
wat-is-de-status-van-mijn-reparatie,Advies en ondersteuning,Overig,1,"188,00%",2
how-does-it-work-if-you-order-kitchen-appliances-with-extra-services,Bezorgen en installeren,Bezorg- en installatieservices,1,"125,00%",1
wat-als-mijn-reparatie-niet-onder-de-fabrieksgarantie-valt,Advies en ondersteuning,Kosten van reparatie,1,"0,00%",0
wie-melde-ich-online-meine-reparatur-an,Beratung und Unterstützung,Sonstiges,1,,0
wo-ist-mein-paket,,,1,"115,00%",1
ou-trouver-ma-facture,Conseil et assistance,Autre,1,"0,00%",0
waar-vind-ik-mijn-track-en-trace,Leveren en installeren,Overig,1,"128,00%",1
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Overig,,1,"343,00%",3
i-want-to-return-my-product-in-the-store,Exchange and return,Return process,1,"210,00%",2
hoe-maak-ik-een-zakelijk-account-aan-,Coolblue Zakelijk,Betalen,1,,0
que-se-passe-t-il-avec-le-montant-restant-de-mon-credit-d-achat,Payer,Autre,1,"0,00%",0
wie-kann-ich-meine-bestellung-aendern,Beratung und Unterstützung,Beratung beim Kauf,1,"0,00%",0
wat-moet-ik-doen-om-mijn-product-te-laten-repareren,,Reparatieproces,1,"0,00%",0
wat-als-mijn-bezorging-vertraagd-is,Overig,Bezorging,1,,0
kan-ik-mijn-product-retourneren,,Retourvoorwaarden,1,,0
hoe-maak-ik-een-zakelijk-account-aan-,Bestellen,Orderbevestiging niet ontvangen,1,"0,00%",0
kan-ik-een-product-ophalen-in-de-winkel-als-het-online-tijdelijk-uitverkocht,Winkels,Voorraad en assortiment,1,,0
welche-ruecksendeoptionen-habe-ich,Sonstiges,Garantiebedingungen,1,"115,00%",1
waar-kan-ik-de-status-van-mijn-terugbetaling-vinden,Betalen,Overig,1,"312,00%",3
ik-wil-mijn-adres-wijzigen,Overig,Levering wijzigen,1,"125,00%",1
waar-vind-ik-mijn-track-en-trace,Leveren en installeren,Bezorgstatus opvragen,1,"0,00%",0
ik-heb-geen-factuur,Betalen,Betaling mislukt of geweigerd,1,"149,00%",1
tot-wanneer-is-mijn-coolbluetegoed-geldig,Advies en ondersteuning,Overig,1,"0,00%",0
is-my-product-in-stock,Order,Change order,1,,0
wat-is-de-status-van-mijn-bestelling,Ruilen en retourneren,Retour onjuist afgehandeld,1,"127,00%",1
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Coolblue Energie,Overig,1,"0,00%",0
ou-est-mon-paquet,Autre,Modifier la livraison,1,"222,00%",2
hoe-retourneer-ik-mijn-artikelen,Bezorgen en installeren,Onvolledige of beschadigde bestelling,1,"0,00%",0
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,,Reparatieproces,1,,0
est-ce-que-la-reparation-est-toujours-gratuite,Autre,Autre,1,"0,00%",0
wo-ist-mein-paket,Bezahlen,Rabatte und Guthaben,1,,0
quels-sont-les-options-disponibles-pour-retourner-mon-produit,Garantie et réparation,Cout de la réparation,1,"0,00%",0
extra-grote-producten-aanmelden-reparatie,Bestellen,Overig,1,,0
hoe-werkt-het-als-je-witgoed-of-keukenapparatuur-besteld-met-extra-services,Bezorgen en installeren,Bezorging wijzigen,1,"0,00%",0
wat-voor-retourmogelijkheden-heb-ik,Overig,Retour of omruiling aanmelden,1,,0
biedt-coolblue-achteraf-betalen-aan,Bezorgen en installeren,Bezorg- en installatieservices,1,,0
can-i-use-my-coolbluecredit-in-parts,Other,Discounts and credits,1,"0,00%",0
do-promotions-also-apply-to-second-chance-products,Order,Promotions on products,1,,0
waar-kan-ik-mijn-factuur-vinden,Garantie en reparatie,,1,"0,00%",0
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,Betalen,Betaalmethodes,1,"132,00%",1
ist-die-lieferung-heute-noch-moeglich,Bestellen,Sonstiges,1,,0
nemen-jullie-mijn-oude-apparaat-mee,Overig,Bezorg- en installatieservices,1,"0,00%",0
where-can-i-find-my-invoice,Order,No order confirmation received,1,"0,00%",0
wat-voor-retourmogelijkheden-heb-ik,Ruilen en retourneren,Retour onjuist afgehandeld,1,,0
where-can-i-find-my-invoice,Bestellen,Sonstiges,1,,0
hoe-kan-ik-betalen,,Betaalmethodes,1,"0,00%",0
le-statut-de-paiement-dans-mon-coolblue-n-est-pas-correct,Payer,Paiement échoué ou refusé,1,"124,00%",1
extra-grote-producten-aanmelden-reparatie,Advies en ondersteuning,Hulp bij installatie en gebruik,1,"130,00%",1
ik-wil-mijn-product-in-de-winkel-retourneren,Bezorgen en installeren,Retour of omruiling aanmelden,1,"0,00%",0
Wat-is-er-anders-aan-Telefoon-Tablet-en-Apple-Accessoires-reparaties?,Overig,Overig,1,,0
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Coolblue Zakelijk,Hulp bij installatie en gebruik,1,,0
est-ce-que-j-ai-une-garantie-sur-un-produit-deuxieme-chance,Garantie et réparation,Autre,1,"290,00%",3
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Bestellen,Advies bij aankoop,1,,0
est-il-possible-d-enregistrer-en-ligne-des-produits-comme-l-electromenager-et-les-appareils-de-cuisine-avant-de-les-retourner,Autre,Signaler un retour ou un échange,1,"120,00%",1
welke-producten-kan-ik-bekijken-in-de-winkel,Winkels,Bestelling ophalen,1,"0,00%",0
heb-ik-garantie-op-een-tweedekans-product,Ruilen en retourneren,Retour of omruiling aanmelden,1,"0,00%",0
de-betaalstatus-in-mijncoolblue-klopt-niet,Betalen,Overig,1,"0,00%",0
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wat-moet-ik-doen,Advies en ondersteuning,,1,"0,00%",0
welche-allgemeinen-geschaeftsbedingungen-gelten-fuer-geschaeftskunden,Beratung und Unterstützung,Geschäftlich bestellen,1,"0,00%",0
comment-enregistrer-mon-produit-a-reparer-en-ligne,Échange et retour,Signaler un retour ou un échange,1,"0,00%",0
kan-ik-mijn-bestelling-wijzigen,Overig,Reparatie aanmelden,1,,0
quels-sont-les-options-disponibles-pour-retourner-mon-produit,Échange et retour,Signaler un retour ou un échange,1,,0
hoe-vraag-ik-een-cashback-aan,Garantie en reparatie,Reparatie aanmelden,1,"144,00%",1
und-wie-schnell-bekomme-ich-nach-der-rueckgabe-mein-geld-zurueck,Umtausch und Rückgabe,Rückgabeprozess,1,"0,00%",0
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,Ruilen en retourneren,Retour of omruiling aanmelden,1,"0,00%",0
wanneer-ligt-een-product-op-voorraad-in-de-winkel,Winkels,Bestelling ophalen,1,"136,00%",1
hoe-kan-ik-mijn-zakelijke-factuur-wijzigen,Overig,Betalen,1,"197,00%",2
mijn-ideal-betaling-is-mislukt,,Overig,1,"0,00%",0
wie-melde-ich-online-meine-retoure-an,Sonstiges,Garantiebedingungen,1,"115,00%",1
hoe-moet-ik-mijn-product-inpakken-om-het-terug-te-sturen,Winkels,Ruilen en retourneren,1,,0
wat-gebeurt-er-als-ik-niet-thuis-ben,Advies en ondersteuning,Overig,1,"366,00%",4
het-product-heeft-een-aanbieding-en-een-cashback-hoe-hoog-is-mijn-korting,Ruilen en retourneren,Retour onjuist afgehandeld,1,"151,00%",2
je-veux-changer-mon-adresse,Delivery and installation,Order delayed or not delivered,1,"0,00%",0
can-i-return-my-product,,,1,"0,00%",0
can-i-exchange-my-product-in-the-store,Stores,Exchange and return,1,,0
will-you-take-my-old-appliance-with-you,Other,Delivery and installation services,1,"0,00%",0
wat-moet-ik-doen-om-mijn-product-te-retourneren,Ruilen en retourneren,Garantievoorwaarden,1,,0
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Coolblue Zakelijk,Ruilen en retourneren,1,"0,00%",0
how-can-i-change-my-order,,Change delivery,1,"0,00%",0
kan-ik-mijn-bestelling-annuleren,Overig,Overig,1,"284,00%",3
ou-se-trouvent-vos-magasins,Magasins,Horaires d'ouverture et accessibilité,1,"130,00%",1
wat-betekent-de-voorraadstatus-tijdelijk-uitverkocht,Leveren en installeren,Bezorg- en installatieservices,1,,0
hoe-werkt-het-als-je-witgoed-of-keukenapparatuur-besteld-met-extra-services,Ruilen en retourneren,Retourstatus,1,"0,00%",0
moet-ik-iets-betalen-voor-het-terugsturen-van-mijn-product,,Retourproces,1,"0,00%",0
kan-ik-mijn-bestelling-wijzigen,Betalen,Overig,1,,0
my-order-was-delivered-but-i-didnt-receive-all-products,Delivery and installation,Request delivery status,1,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,Bezorgen en installeren,,1,"0,00%",0
hoeveel-garantie-heb-ik-op-mijn-product,Winkels,Reparatie aanmelden,1,,0
hoe-meld-ik-online-mijn-retour-aan,Ruilen en retourneren,Retour onjuist afgehandeld,1,,0
are-repairs-always-free,Exchange and return,Change return or exchange,1,"0,00%",0
ou-est-mon-paquet,Commander,Confirmation de commande non reçue,1,"0,00%",0
hoeveel-garantie-heb-ik-op-mijn-product,Overig,Overig,1,"251,00%",3
will-i-get-the-full-purchase-amount-back-after-i-return-my-product,Other,Other,1,"143,00%",1
wat-als-mijn-bezorging-vertraagd-is,Garantie en reparatie,Reparatie onjuist afgehandeld,1,"144,00%",1
is-reparatie-altijd-gratis,,Retour of omruiling aanmelden,1,"177,00%",2
how-much-warranty-do-i-have-on-my-product,Warranty and repair,Repair process,1,,0
hoe-retourneer-ik-mijn-artikelen,Overig,Betaling mislukt of geweigerd,1,"0,00%",0
is-het-nog-steeds-vandaag-besteld-morgen-in-huis,Bezorgen en installeren,Bezorging wijzigen,1,"226,00%",2
koennt-ihr-mir-bei-der-einrichtung-und-verwendung-meines-produkts-helfen,Garantie und Reparatur,Reparatur anmelden,1,"121,00%",1
comment-utiliser-mon-credit-d-achat,Payer,Méthodes de payement,1,,0
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Garantie en reparatie,Reparatie aanmelden,1,"0,00%",0
kan-ik-mijn-product-retourneren,Bestellen,Advies bij aankoop,1,"0,00%",0
wie-houdt-mij-op-de-hoogte-over-mijn-reparatie-coolblue-of-de-reparateur,Garantie en reparatie,,1,"223,00%",2
hoe-vraag-ik-een-cashback-aan,,Reparatie onjuist afgehandeld,1,"0,00%",0
installeren-jullie-mijn-nieuwe-televisie-voor-me,Leveren en installeren,Overig,1,"0,00%",0
op-welke-manieren-kan-in-betalen-als-zakelijke-klant,Payment,Payment methods,1,,0
i-want-to-return-my-product-in-the-store,Stores,Stock and assortment,1,"0,00%",0
wanneer-krijg-ik-mijn-nieuwe-product,Garantie en reparatie,Overig,1,,0
hoe-vraag-ik-een-cashback-aan,Bestellen,Acties op producten,1,"0,00%",0
kan-iemand-anders-mijn-bestelling-komen-ophalen-in-de-winkel,,Bestelling ophalen,1,"0,00%",0
was-passiert-wenn-ich-nicht-zu-hause-bin,,,1,"112,00%",1
welche-ruecksendeoptionen-habe-ich,Sonstiges,Rückgabeprozess,1,"0,00%",0
ik-ga-mijn-pakketje-ophalen-wat-zijn-de-openingstijden-van-mijn-ophaalpunt,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,1,,0
wat-is-shoptegoed,,,1,"0,00%",0
what-if-i-paid-with-bancontact-but-havent-received-an-order-confirmation,Advice and support,Other,1,"138,00%",1
was-muss-ich-tun-um-mein-produkt-zurueckzugeben,Sonstiges,Rückgabebedingungen,1,,0
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wat-moet-ik-doen,Delivery and installation,Other,1,"131,00%",1
mon-produit-ne-marche-pas-bien-que-faire,Livraison et installation,Commande incomplète ou endommagée,1,"0,00%",0
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,Winkels,Bestelling ophalen,1,,0
wat-je-verder-nog-moet-weten-over-onze-extra-services,Advies en ondersteuning,Hulp bij installatie en gebruik,1,"0,00%",0
is-mijn-product-op-voorraad,Leveren en installeren,Bestelling vertraagd of niet geleverd,1,,0
what-if-my-product-is-delivered-damaged,Other,Incomplete or damaged order,1,"429,00%",4
hoe-vraag-ik-een-offerte-aan,Coolblue Zakelijk,Betalen,1,,0
wat-als-ik-dubbel-betaald-heb,Betalen,Factuur nasturen,1,,0
what-do-i-have-to-do-to-return-my-product,Overig,Repair process,1,"0,00%",0
do-you-repair-products-at-home-or-do-i-have-to-send-it-in,Warranty and repair,Register a repair,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,Overig,Hulp bij installatie en gebruik,1,"138,00%",1
waar-is-mijn-pakketje,Winkels,Openingstijden en bereikbaarheid,1,,0
is-reparatie-altijd-gratis,Ruilen en retourneren,Retour of omruiling aanmelden,1,,0
is-a-cashback-an-option-for-a-second-chance-product,Order,Promotions on products,1,,0
heb-ik-garantie-op-een-tweedekans-product,Advies en ondersteuning,Overig,1,"165,00%",2
my-order-was-delivered-but-i-didnt-receive-all-products,,,1,"0,00%",0
what-if-my-product-is-delivered-damaged,Advice and support,Help with installation and use,1,,0
kann-ich-mein-produkt-bei-coolblue-reparieren-lassen,Sonstiges,Garantiebedingungen,1,"0,00%",0
how-do-i-register-my-repairs-online,Warranty and repair,Cost of repair,1,"0,00%",0
why-was-my-credit-card-payment-declined,Delivery and installation,Payment failed or declined,1,"0,00%",0
wie-kann-ich-mit-paypal-bezahlen,Bestellen,Zahlungsarten,1,,0
wanneer-heeft-mijn-product-gebruikersschade,,Overig,1,,0
hoe-werkt-het-als-je-witgoed-of-keukenapparatuur-besteld-met-extra-services,Bezorgen en installeren,Bezorgstatus opvragen,1,"0,00%",0
kan-ik-mijn-product-laten-repareren-bij-coolblue,Ruilen en retourneren,Retourvoorwaarden,1,"184,00%",2
was-muss-ich-tun-um-mein-produkt-zurueckzugeben,Beratung und Unterstützung,Sonstiges,1,,0
kan-ik-mijn-gerepareerde-product-in-de-winkel-ophalen,Bestellen,Overig,1,,0
was-muss-ich-tun-um-mein-produkt-zurueckzugeben,Sonstiges,Sonstiges,1,,0
what-if-i-paid-with-bancontact-but-havent-received-an-order-confirmation,Payment,Payment failed or declined,1,"0,00%",0
de-betaalstatus-in-mijncoolblue-klopt-niet,Betalen,Terugbetaling van annulering,1,"0,00%",0
nemen-jullie-mijn-oude-televisie-mee,Leveren en installeren,Overig,1,"0,00%",0
nemen-jullie-mijn-oude-apparaat-mee,Ruilen en retourneren,Retourstatus,1,"228,00%",2
wat-moet-ik-doen-als-ik-mijn-pakket-niet-heb-ontvangen,Leveren en installeren,Overig,1,"0,00%",0
ik-wil-mijn-adres-wijzigen,Overig,Services,1,"0,00%",0
comment-modifier-ma-commande,Commander,Annuler une commande,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,Overig,Betaling mislukt of geweigerd,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,,Factuur wijzigen,1,"0,00%",0
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,,Reparatiestatus,1,"0,00%",0
kan-ik-producten-bestellen-zonder-btw,,Zakelijk bestellen,1,,0
waar-kan-ik-mijn-factuur-vinden,Ruilen en retourneren,Retourvoorwaarden,1,,0
wie-kann-ich-bezahlen,Bezahlen,Zahlung fehlgeschlagen oder abgelehnt,1,"177,00%",2
kan-iemand-anders-mijn-bestelling-komen-afhalen-in-de-winkel,Advies en ondersteuning,Advies bij aankoop,1,"0,00%",0
hoe-kan-ik-mijn-shoptegoed-toepassen,Bestellen,Kortingen en tegoeden,1,"0,00%",0
wie-lange-habe-ich-garantie-auf-mein-produkt,Garantie und Reparatur,Reparaturprozess,1,,0
hoeveel-garantie-heb-ik-op-mijn-product,Ruilen en retourneren,Retourvoorwaarden,1,"0,00%",0
do-i-have-a-warranty-on-a-second-chance-product,Warranty and repair,Other,1,"147,00%",1
what-is-the-status-of-my-order,Coolblue Business,Delivery,1,,0
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Overig,Bestelling ophalen,1,,0
my-product-doesnt-work-well,Advice and support,Other,1,,0
how-much-warranty-do-i-have-on-my-product,,,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,Garantie en reparatie,Reparatiestatus,1,,0
zijn-alle-coolblue-winkels-open,Ruilen en retourneren,Retour onjuist afgehandeld,1,,0
hoe-meld-ik-online-mijn-reparatie-aan,,Garantievoorwaarden,1,"0,00%",0
wanneer-heeft-mijn-product-gebruikersschade,Garantie en reparatie,Reparatie onjuist afgehandeld,1,"0,00%",0
et-dans-quel-delai-est-ce-que-je-serai-rembourse-apres-mon-retour,Échange et retour,Autre,1,"0,00%",0
